start something,[-1.26653782]
what about,[-1.06972866]
yoga,[-1.03781575]
really end,[-1.03340094]
oh yeah,[-1.01598355]
game,[-0.99289737]
judge,[-0.94479283]
start whatever,[-0.93378601]
anyone,[-0.91463007]
questions,[-0.88462416]
busy,[-0.88332348]
nothing,[-0.88267099]
boulder,[-0.87752175]
said,[-0.87741628]
nothing end,[-0.86187246]
hi there,[-0.85416843]
say,[-0.84622062]
think of,[-0.83720642]
did end,[-0.82354301]
i like,[-0.81679432]
start thank,[-0.81079388]
change,[-0.80944545]
s nice,[-0.80640123]
name where,[-0.78685172]
d end,[-0.77487245]
hobbies,[-0.76317476]
do i,[-0.75761445]
phone,[-0.7459516]
why not,[-0.74476971]
women,[-0.74234037]
normal,[-0.73643289]
am,[-0.73306181]
see you,[-0.7307493]
the question,[-0.72582516]
world end,[-0.72389654]
wish,[-0.7237703]
you really,[-0.72146626]
intelligent,[-0.71982056]
was your,[-0.71943079]
today,[-0.71287407]
start t,[-0.70549743]
start alright,[-0.70523773]
meet,[-0.70052475]
love,[-0.69977303]
you ever,[-0.69933998]
hear,[-0.69683181]
everything,[-0.69210854]
about a,[-0.68090545]
me,[-0.67757721]
time end,[-0.67732915]
typing end,[-0.67702864]
robots,[-0.67673726]
start help,[-0.67580235]
start some,[-0.67550263]
no end,[-0.67074065]
ar,[-0.66582195]
star wars,[-0.65896655]
wars,[-0.65896655]
your,[-0.65517366]
care,[-0.65022321]
to tell,[-0.64385101]
that you,[-0.64139764]
karate,[-0.6366855]
s interesting,[-0.63485978]
glad,[-0.63034022]
judge04,[-0.62669343]
australia,[-0.62283371]
so am,[-0.61454959]
best,[-0.61301354]
i end,[-0.61187357]
born,[-0.6116225]
i get,[-0.60816465]
please,[-0.60487529]
alice,[-0.60272117]
i just,[-0.60248412]
you,[-0.59976436]
man,[-0.59859282]
judge01,[-0.5918243]
start really,[-0.58509697]
the time,[-0.58125276]
am i,[-0.57950675]
sex,[-0.57754188]
tv,[-0.57667198]
perhaps,[-0.57317995]
s very,[-0.5692257]
greetings,[-0.56793155]
always,[-0.56638225]
certain,[-0.56546102]
how long,[-0.56300276]
country are,[-0.56173228]
huh end,[-0.56062839]
